query,search_engine,rank,url
Bangladesh national cricket team performance,Google,1,https://en.wikipedia.org/wiki/Bangladesh_national_cricket_team
Bangladesh national cricket team performance,Google,2,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwic6LCCl9uSAxXQ6jgGHQmPKSEQFnoECB0QAQ&url=https%3A%2F%2Fwww.cricbuzz.com%2Fcricket-team%2Fbangladesh%2F6&usg=AOvVaw3qQ95yvXWpLFdwvBqXIJIE&opi=89978449
Bangladesh national cricket team performance,Google,3,https://www.espncricinfo.com/team/bangladesh-25/match-schedule-fixtures-and-results
Bangladesh national cricket team performance,Google,4,https://www.tigercricket.com.bd
Bangladesh national cricket team performance,Google,5,https://www.espncricinfo.com/team/bangladesh-25
Bangladesh national cricket team performance,Google,6,https://www.thedailystar.net/opinion/views/news/has-the-bangladesh-cricket-team-reached-their-ceiling-3470126
Bangladesh national cricket team performance,Google,7,https://www.facebook.com/groups/sportsfeed07/posts/1200073481347829/
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,Google,1,https://www.bbc.com/bengali/articles/cvg554z371go
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,Google,2,https://www.prothomalo.com/business/economics/etpt0v9loe
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,Google,3,https://samakal.com/somridhhi/article/329278/বাংলাদেশের-প্রবৃদ্ধির-পূর্বাভাস-কেন-কমাল-এডিবি
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,Google,4,https://en-wikipedia-org.translate.goog/wiki/Economy_of_Bangladesh?_x_tr_sl=en&_x_tr_tl=bn&_x_tr_hl=bn&_x_tr_pto=tc
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,Google,5,https://mof.portal.gov.bd/sites/default/files/files/mof.portal.gov.bd/page/3831d5da_404d_41b0_a5a0_f9f5288e5677/সামষ্টিক%20অর্থনৈতিক%20পরিস্থিতি_নন.pdf
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,Google,6,https://bonikbarta.com/economy/FQbQkYcT4BzvWiey
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,Google,7,https://www.itvbd.com/economy/256241/আন্তর্জাতিক-মুদ্রা-তহবিলের-পূর্বাভাসে-বাংলাদেশের
climate change এর প্রভাব in Bangladesh,Google,1,https://bn.wikipedia.org/wiki/বাংলাদেশে_জলবায়ু_পরিবর্তনের_প্রভাব
climate change এর প্রভাব in Bangladesh,Google,2,https://www.protidinersangbad.com/todays-newspaper/editor-choice/281143
climate change এর প্রভাব in Bangladesh,Google,3,https://ais.portal.gov.bd/pages/krishi-kotha/জলবায়ু-পরিবর্তন-ও-কৃষির-ওপর-প্রভাব-6d23be-6922d94adbfbab28ce04ad5c
