query,model,rank,score,doc_id,doc_title,doc_language
bangladesh cricket team,BM25,1,1.0,N/A,Leather and footwear: The next big export frontier for Bangladesh,english
bangladesh cricket team,BM25,2,0.9532310313049791,N/A,Bangladesh-India ties: A tragicomedy where populists take centre stage,english
bangladesh cricket team,BM25,3,0.925229211701486,N/A,Prachyanat School stages Mamunur Rashid s Guinea Pig today,english
bangladesh cricket team,BM25,4,0.8604794060834848,N/A,Regional identity and the untapped power of foods,english
bangladesh cricket team,BM25,5,0.7548485183547102,N/A,Shipbuilding industry defaulters to get special rescheduling facility,english
bangladesh cricket team,BM25,6,0.4523579185910136,N/A,"Revisiting Humayun Azad s classic, Koto Nodi Shorobor",english
bangladesh cricket team,BM25,7,0.0,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
bangladesh cricket team,BM25,8,0.0,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
bangladesh cricket team,BM25,9,0.0,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
bangladesh cricket team,BM25,10,0.0,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
bangladesh cricket team,TF-IDF,1,0.16374161789093786,N/A,Bangladesh-India ties: A tragicomedy where populists take centre stage,english
bangladesh cricket team,TF-IDF,2,0.13094758494883219,N/A,Leather and footwear: The next big export frontier for Bangladesh,english
bangladesh cricket team,TF-IDF,3,0.08883873948417115,N/A,Prachyanat School stages Mamunur Rashid s Guinea Pig today,english
bangladesh cricket team,TF-IDF,4,0.07630572660255067,N/A,Regional identity and the untapped power of foods,english
bangladesh cricket team,TF-IDF,5,0.04159590978198585,N/A,Shipbuilding industry defaulters to get special rescheduling facility,english
bangladesh cricket team,TF-IDF,6,0.013807864423245367,N/A,"Revisiting Humayun Azad s classic, Koto Nodi Shorobor",english
bangladesh cricket team,TF-IDF,7,0.0033656940570714507,N/A,"Before the Assam Bengal line system: Mobility, land, and belonging",english
bangladesh cricket team,TF-IDF,8,0.0,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
bangladesh cricket team,TF-IDF,9,0.0,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
bangladesh cricket team,TF-IDF,10,0.0,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
