query,doc_id,doc_url,language,relevant,annotator
Bangladesh national cricket team performance,0652fcdc1acf,https://www.prothomalo.com/sports/cricket/k0euw4ll8q,bangla,yes,moushi
Bangladesh national cricket team performance,8689518fd9c2,https://www.prothomalo.com/sports/cricket/icdhuxqkvn,bangla,yes,moushi
Bangladesh national cricket team performance,035739ec7657,https://www.prothomalo.com/video/sports/kc2jbyvs1h,bangla,yes,moushi
Bangladesh national cricket team performance,1e8b2c36f6da,https://www.aljazeera.com/sports/2026/1/21/bangladesh-india-t20-world-cup-dispute-unresolved-as-icc-deadline-looms,english,yes,moushi
Bangladesh national cricket team performance,62a786fbaace,https://www.prothomalo.com/sports/cricket/byxeh37bdw,bangla,yes,moushi
Bangladesh national cricket team performance,fb25b555ac7f,https://www.prothomalo.com/video/sports/tq2r8fvpc1,bangla,yes,moushi
Bangladesh national cricket team performance,cc8b26b6c91a,https://www.dhakatribune.com/sport/cricket/401584/bangladesh-stand-firm-on-india-boycott-after,english,yes,moushi
Bangladesh national cricket team performance,b0bd05c8e8c5,http://www.dhakatribune.com/sport/cricket/401584/bangladesh-stand-firm-on-india-boycott-after,english,yes,moushi
Bangladesh national cricket team performance,fb93d527ba6f,https://www.prothomalo.com/sports/cricket/1m9r9qs8ml,bangla,yes,moushi
Bangladesh national cricket team performance,68c067bea35a,https://www.prothomalo.com/sports/cricket/8hhakq14gf,bangla,yes,moushi
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,ac827ccc6030,https://nagorik.prothomalo.com/reader/9t1edpppl7,bangla,yes,moushi
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,b41a424d023e,https://www.prothomalo.com/chakri/employment/kun51939a7,bangla,yes,moushi
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,13727b5b4a27,https://www.prothomalo.com/business/economics/pjou4svbpw,bangla,yes,moushi
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,97f82ebec0bc,https://www.prothomalo.com/video/bangladesh/5dym2gpd8i,bangla,no,moushi
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,684c96b80cda,https://www.prothomalo.com/opinion/column/46uhvyzhqx,bangla,yes,moushi
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,827da3c615fc,https://www.thedailystar.net/opinion/news/how-bridge-education-and-employment-bangladesh-4054621,english,yes,moushi
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,dce78013519e,https://www.prothomalo.com/opinion/column/0q6360p3sz,bangla,yes,moushi
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,12bb482d7d8c,https://dailynewnation.com/news/category/todays-news/business-economy/,english,yes,moushi
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,f76503ca4fee,https://www.prothomalo.com/business/analysis/y1aplpqjwe,bangla,yes,moushi
বাংলাদেশের অর্থনৈতিক প্রবৃদ্ধি পরিস্থিতি,74319d0c3e93,https://www.prothomalo.com/bangladesh/rw8strogu7,bangla,yes,moushi
